,ID,AGE,Ethnicity,Married,Family Size,Education1,Education2,Income,Language,Education,Coffee,Hot Tea,Iced Tea,Egg Salad,Pickles,Corned Beef
2,31129.0,15.0,4,5,6,10,0,10,1,10,1.0,1.0,5.0,1.0,5.0,8.0
4,31131.0,44.0,4,1,4,0,4,11,1,4,8.0,5.0,8.0,8.0,4.0,7.0
5,31132.0,70.0,3,1,2,0,5,11,1,5,7.0,3.0,2.0,7.0,4.0,4.0
6,31133.0,16.0,4,5,3,9,0,11,1,9,1.0,1.0,1.0,1.0,2.0,4.0
7,31134.0,73.0,3,1,2,0,3,12,1,3,8.0,1.0,1.0,8.0,7.0,3.0
12,31139.0,18.0,2,5,3,13,0,11,1,13,1.0,2.0,1.0,1.0,1.0,2.0
14,31141.0,16.0,1,5,4,10,0,11,1,10,1.0,1.0,1.0,1.0,2.0,6.0
15,31142.0,7.0,1,0,5,1,0,3,1,1,1.0,1.0,1.0,1.0,2.0,2.0
16,31143.0,19.0,3,5,3,15,0,11,1,15,1.0,1.0,1.0,1.0,1.0,1.0
17,31144.0,21.0,2,5,6,0,3,3,2,3,1.0,1.0,1.0,1.0,6.0,7.0
18,31145.0,10.0,3,0,5,3,0,11,1,3,1.0,1.0,1.0,1.0,3.0,2.0
20,31147.0,7.0,4,0,4,0,0,4,1,0,1.0,3.0,8.0,1.0,7.0,6.0
21,31148.0,16.0,3,5,5,9,0,5,1,9,2.0,1.0,7.0,2.0,2.0,2.0
23,31150.0,79.0,3,3,1,0,3,3,1,3,7.0,88.0,1.0,7.0,3.0,1.0
24,31151.0,59.0,4,1,2,0,3,7,1,3,5.0,6.0,6.0,5.0,4.0,1.0
26,31153.0,44.0,5,5,2,0,3,3,1,3,2.0,9.0,9.0,2.0,2.0,2.0
27,31154.0,62.0,4,1,2,0,3,5,1,3,5.0,5.0,1.0,5.0,1.0,2.0
28,31155.0,38.0,5,1,4,0,5,10,1,5,1.0,5.0,1.0,1.0,2.0,4.0
29,31156.0,43.0,4,4,7,0,4,7,1,4,1.0,3.0,5.0,1.0,2.0,3.0
30,31157.0,11.0,1,0,3,5,0,4,1,5,1.0,1.0,1.0,1.0,1.0,1.0
31,31158.0,71.0,3,1,2,0,4,8,1,4,8.0,1.0,3.0,8.0,5.0,7.0
32,31159.0,9.0,4,0,3,2,0,3,1,2,1.0,1.0,2.0,1.0,2.0,3.0
34,31161.0,10.0,3,0,6,4,0,11,1,4,4.0,3.0,5.0,4.0,5.0,7.0
35,31162.0,71.0,3,1,2,0,3,6,1,3,8.0,7.0,8.0,8.0,2.0,1.0
37,31164.0,54.0,3,1,4,0,4,11,1,4,8.0,3.0,5.0,8.0,5.0,5.0
39,31166.0,15.0,3,5,3,9,0,3,1,9,1.0,2.0,1.0,1.0,5.0,1.0
40,31167.0,37.0,3,1,5,0,4,11,1,4,8.0,1.0,8.0,8.0,3.0,6.0
42,31169.0,3.0,4,0,6,0,0,9,1,0,1.0,1.0,4.0,1.0,1.0,7.0
43,31170.0,14.0,5,5,4,7,0,9,1,7,1.0,2.0,2.0,1.0,3.0,2.0
44,31171.0,12.0,4,0,7,6,0,8,1,6,1.0,1.0,8.0,1.0,1.0,1.0
46,31173.0,6.0,1,0,3,1,0,3,2,1,2.0,1.0,1.0,2.0,4.0,7.0
47,31174.0,6.0,1,0,4,1,0,5,2,1,1.0,1.0,1.0,1.0,1.0,1.0
50,31177.0,18.0,4,5,6,12,0,6,1,12,88.0,88.0,88.0,88.0,2.0,2.0
52,31179.0,71.0,3,4,1,0,3,1,1,3,7.0,1.0,2.0,7.0,4.0,1.0
56,31183.0,33.0,3,1,2,0,5,8,1,5,6.0,2.0,5.0,6.0,2.0,5.0
59,31186.0,46.0,1,3,4,0,1,6,2,1,6.0,1.0,7.0,6.0,1.0,1.0
60,31187.0,22.0,3,6,1,0,4,11,1,4,5.0,1.0,2.0,5.0,2.0,2.0
63,31190.0,72.0,3,1,2,0,4,12,1,4,7.0,1.0,8.0,7.0,1.0,3.0
66,31193.0,51.0,3,3,1,0,1,2,1,1,1.0,1.0,2.0,1.0,3.0,2.0
67,31194.0,47.0,1,3,1,0,1,11,1,1,3.0,3.0,5.0,3.0,1.0,1.0
68,31195.0,73.0,3,1,2,0,4,10,1,4,8.0,1.0,1.0,8.0,3.0,6.0
76,31203.0,33.0,1,6,7,0,2,8,2,2,2.0,1.0,1.0,2.0,1.0,4.0
77,31204.0,15.0,3,5,2,9,0,4,1,9,88.0,88.0,88.0,88.0,1.0,1.0
79,31206.0,17.0,5,5,2,11,0,3,1,11,1.0,2.0,3.0,1.0,3.0,3.0
82,31209.0,2.0,1,0,3,0,0,2,1,0,1.0,1.0,8.0,1.0,5.0,1.0
86,31213.0,53.0,4,5,2,0,2,3,1,2,7.0,2.0,3.0,7.0,2.0,2.0
87,31214.0,46.0,3,1,6,0,4,5,1,4,6.0,3.0,3.0,6.0,8.0,5.0
88,31215.0,12.0,1,0,5,6,0,8,1,6,5.0,1.0,1.0,5.0,1.0,1.0
91,31218.0,14.0,4,5,3,8,0,6,1,8,1.0,3.0,2.0,1.0,2.0,1.0
93,31220.0,50.0,3,1,3,0,3,11,1,3,8.0,1.0,4.0,8.0,88.0,6.0
95,31222.0,4.0,1,0,5,0,0,4,2,0,1.0,1.0,1.0,1.0,7.0,6.0
96,31223.0,61.0,1,1,2,0,2,5,2,2,7.0,4.0,2.0,7.0,2.0,5.0
100,31227.0,64.0,3,1,2,0,5,11,1,5,1.0,8.0,5.0,1.0,3.0,1.0
101,31228.0,34.0,1,6,4,0,2,6,2,2,6.0,6.0,1.0,6.0,1.0,1.0
102,31229.0,4.0,1,0,5,0,0,12,1,0,1.0,1.0,1.0,1.0,1.0,7.0
104,31231.0,30.0,3,1,2,0,5,9,1,5,2.0,2.0,1.0,2.0,6.0,1.0
105,31232.0,56.0,4,2,2,0,3,4,1,3,1.0,6.0,6.0,1.0,1.0,1.0
106,31233.0,83.0,3,1,2,0,2,6,1,2,9.0,1.0,1.0,9.0,7.0,5.0
